Q7D4P5|Q8IZ71	ECCCB1|GNAI2
P9WI81|Q6IB18	PKNB|HNRNPA0
Q10516|Q9UCA1	PTKA|F2
Q7D4P3|Q9BTT1	ESPI|ELAVL1
Q7D5J3|Q9BRR9	GLMM|ARHGAP9
Q10516|Q6ZN33	PTKA|PPP2R5C
Q7D4P3|Q96QJ0	ESPI|CTSL
Q10516|Q92774	PTKA|RPL23A
P9WI81|Q8NHX1	PKNB|MAPK3
Q7D4P3|Q8IYD6	ESPI|MAPKAPK2
Q7D4P3|Q53RR6	ESPI|ITGB6
Q7D4P3|Q92840	ESPI|CXCL11
Q7D4P3|Q9UQR1	ESPI|ZNF148
Q7D4P3|Q6IBM5	ESPI|ARHGDIA
Q7D4P3|Q9UQL6	ESPI|HDAC5
Q10516|Q9NRD3	PTKA|CLNS1A
Q10516|Q16215	PTKA|LRP2
Q10516|Q2M249	PTKA|RHO
Q10516|Q96BD9	PTKA|SUZ12
Q10516|Q9UN32	PTKA|PPARGC1A
Q10516|Q9UC56	PTKA|HSPA9
Q10516|Q9Y4Y7	PTKA|PHC2
Q7D4P3|Q9NUZ2	ESPI|RHOT1
Q7D4P3|Q6FG87	ESPI|TCEA1
Q7D4P3|Q6FGY6	ESPI|H2AC7
Q7D4P3|Q86YK6	ESPI|FKBP8
Q10516|Q9UG90	PTKA|TLR1
P9WI81|Q9UIU7	PKNB|NTRK1
Q7D5J3|Q9UPT2	GLMM|NLGN1
Q7D4P3|Q9BYM9	ESPI|RBCK1
Q10516|P08156	PTKA|MMP1
Q10516|Q9UM57	PTKA|TLR4
Q7D4P3|Q9Y331	ESPI|EHMT2
Q7D5J3|Q14520	GLMM|HABP2
Q7D4P3|Q4TTG0	ESPI|BIRC2
Q10516|Q99879	PTKA|H2BC14
Q7D4P3|Q8WW97	ESPI|RPL6
Q10516|Q9BR78	PTKA|LRP8
Q10516|Q9NRE6	PTKA|PIDD1
Q7D4P3|Q9NYB8	ESPI|ABI1
Q7D5J3|Q9ULH1	GLMM|ASAP1
Q10516|Q9UDH8	PTKA|ANXA2
Q10516|Q9H3V5	PTKA|HSPG2
Q10516|Q96F91	PTKA|AGT
Q7D5J3|Q9GZZ9	GLMM|UBA5
Q7D4P3|Q14935	ESPI|YY1
Q7D4P3|Q9UMK2	ESPI|FN1
Q7D4P3|Q5T654	ESPI|CUL7
Q10516|O43150	PTKA|ASAP2
Q7D4P3|Q9UCM9	ESPI|TTR
Q10516|Q6P2P6	PTKA|FPGS
Q10516|P21371	PTKA|ARF4
Q7D4P3|Q9UMK3	ESPI|NF1
Q10516|O75297	PTKA|JAK2
Q7D5J3|Q9UII1	GLMM|ZNF274
Q10516|Q53TU5	PTKA|IL18RAP
Q7D4P3|Q9UDE5	ESPI|CD4
Q7D4P3|Q9UMV4	ESPI|GNAO1
Q7D4P3|Q9NQD9	ESPI|GTF2H1
P9WI81|Q9Y589	PKNB|IRAK4
Q7D4P3|Q8NEN8	ESPI|BMPR1A
Q10516|Q9H023	PTKA|ARHGEF2
Q7D4P3|Q9H240	ESPI|NOTCH2
Q7D4P3|Q8TDX0	ESPI|MAPK14
Q10516|Q9UQD8	PTKA|PRTN3
P9WI81|Q9UE72	PKNB|MAP2K3
Q7D5J3|Q4ZGJ6	GLMM|TJP1
Q7D5J3|Q9UNT4	GLMM|TRIP6
Q7D5J3|Q96HA5	GLMM|ITGA5
Q10516|Q3KNQ9	PTKA|GTF2A1
Q7D5J3|O60500	GLMM|NPHS1
Q7D4P3|Q9HB61	ESPI|ROR2
Q10516|Q96HC5	PTKA|U2AF2
Q10516|Q9UDH7	PTKA|LDLR
Q7D4P3|Q71U36	ESPI|TUBA1A
Q10516|Q7Z746	PTKA|WASL
Q7D5J3|Q9NRH9	GLMM|PRKACA
Q10516|Q9UBV8	PTKA|PEF1
P9WI81|Q9NQT8	PKNB|KIF13B
Q10516|Q76M58	PTKA|RPS12
Q7D4P3|Q8N5E5	ESPI|TIRAP
Q10516|Q96HR2	PTKA|PTPN2
