	Q24260	14605208
Q24260		14605208
	Q95028	14605208
Q95028		14605208
	Q95028	14605208
Q95028		14605208
	Q95028	14605208
		14605208
		14605208
	Q24320	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q24090	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q9VK58		14605208
		14605208
		14605208
		14605208
		14605208
Q9VHA0		14605208
	P45890	14605208
		14605208
P40945		14605208
Q00748		14605208
Q00748		14605208
Q00748		14605208
	Q00748	14605208
Q00748		14605208
	Q00748	14605208
	Q00748	14605208
		14605208
		14605208
		14605208
Q24400		14605208
Q24400		14605208
Q24400		14605208
	Q24400	14605208
	Q24400	14605208
Q24400		14605208
Q24400		14605208
	Q24400	14605208
Q24400		14605208
	Q24400	14605208
	Q24400	14605208
Q24400		14605208
	Q24400	14605208
Q24400	P29052	14605208
Q24400		14605208
	Q24400	14605208
		14605208
		14605208
		14605208
Q9W219		14605208
		14605208
		14605208
	O16011	14605208
		14605208
		14605208
		14605208
O77259		14605208
P27619		14605208
		14605208
	Q9VPI3	14605208
		14605208
	Q9W140	14605208
		14605208
		14605208
	Q9V3S0	14605208
Q95RS6		14605208
		14605208
		14605208
	P48588	14605208
		14605208
		14605208
Q8T3W6		14605208
		14605208
P52029		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	O76863	14605208
		14605208
		14605208
	Q9VVI1	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P40688	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q24154		14605208
		14605208
		14605208
	P08266	14605208
	Q9W1C9	14605208
		14605208
P18491	P10084	14605208 9371806
		14605208
P20432		14605208
O46036		14605208
		14605208
Q967S0		14605208
		14605208
		14605208
		14605208
	P18459	14605208
		14605208
	P00528	14605208
		14605208
	Q24404	14605208
		14605208
Q24260		14605208
		14605208
Q00748		14605208
	Q24400	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P18491	P11420	9371806 14605208
	P04412	14605208
		14605208
P29310		14605208
P18459		14605208
P18459		14605208
P48598		14605208
		14605208
Q7Z2C5		14605208
	Q24117	14605208
		14605208
		14605208
		14605208
Q24400		14605208
Q24400		14605208
Q24400		14605208
Q9VRM7		14605208
	Q9VIW0	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P20353		14605208
		14605208
		14605208
		14605208
	Q9U1K1	14605208
Q967S0		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P18459	14605208
		14605208
		14605208
	P45890	14605208
		14605208
		14605208
		14605208
		14605208
Q24260	P52295	14605208
Q24260		14605208
Q27889	Q24260	14605208
	Q95028	14605208
		14605208
Q24141		14605208
Q24400		14605208
Q24400		14605208
Q24400		14605208
Q24400		14605208
	Q24400	14605208
		14605208
P08182		14605208
Q9VR93		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P10734		14605208
	P11455	14605208
		14605208
	Q8INW0	14605208
Q8INW0	O76924	14605208
		14605208
		14605208
		14605208
	P15330	14605208
Q03334		14605208
