P0A6Z0|Q5TCL6	DNAK|STX11
Q8X8Y1|Q9UPN7	DXR|PPP6R1
P62618|Q92533	ISPF|BAK1
Q46903|Q6GRF8	QUED|MMP3
Q8X738|Q9Y6Q9	PHOP|NCOA3
Q8XE87|P04083	THIL|ANXA1
Q8X8Y1|Q9H4A2	DXR|RET
Q8XBS3|Q15596	QSEB|NCOA2
Q8XE76|Q8NF13	DXS|TRAF1
P0A6Z0|Q8IYD6	DNAK|MAPKAPK2
P0A6Z0|Q99606	DNAK|AIP
P0A6Z0|Q16876	DNAK|PTGS2
Q8X8Y1|Q9UCA1	DXR|F2
Q8XB76|Q5M8S9	YEDW|RPS20
P0A6Z0|Q9UMA7	DNAK|CREB1
P0A6Z0|Q99760	DNAK|KHDRBS1
Q9S6R3|Q5K546	ESPP|IRAK2
Q8X6Y0|Q8IY10	THIE|MAP2K7
Q8X6Y0|Q9NUI0	THIE|RAB11FIP3
P62618|C9J0E9	ISPF|PSMD6
P24236|Q969R0	NUDB|POLR2H
Q8X6Y0|Q9UPP8	THIE|PITRM1
Q8X8Y1|Q9BUB5	DXR|MKNK1
A0A0H3JH37|Q9NY59	GLTB|SMPD3
P62618|Q9P1U1	ISPF|ACTR3B
Q8X770|Q7KYV3	RSTA|NCOA1
P0A9Q3|Q9UGF1	ARCA|CHEK2
Q8X6Y0|Q2PP16	THIE|CYBB
Q8XBL2|Q3KPG8	FOLB|TPH1
Q8X8Y1|Q8IVT5	DXR|KSR1
P62618|Q9UDJ6	ISPF|NME1
Q8XBD5|O14562	UVRC|UBFD1
P0AFJ6|Q9UGF1	PHOB|CHEK2
Q8X996|Q9NT04	SECA|DDX58
Q46903|Q96H99	QUED|CTTN
Q8X8I2|Q96GA7	FADB|SDSL
P0A6Z0|Q9UKV5	DNAK|AMFR
P62625|Q9Y6N5	ISPH|SQOR
P32168|A0A3B3ISY8	HSLU|CIB1
P0A6Z0|Q9BZY3	DNAK|PML
P62618|Q9NRY3	ISPF|STAB2
A0A0H3JLN7|Q96AT7	BAER|GTF2H3
P0A6Z0|Q9Y2L1	DNAK|DIS3
P24236|Q96BD9	NUDB|SUZ12
Q8XE87|Q585T8	THIL|BMPR2
Q8XA65|Q99615	DNAJ|DNAJC7
Q8X8Y1|Q9UFU3	DXR|ZNF385A
Q46903|Q9UDE0	QUED|ACAN
P0A6Z0|P04083	DNAK|ANXA1
Q8XE76|Q9UE81	DXS|PRKCE
Q8XE87|Q58J86	THIL|EEF2
Q8XCF9|Q00007	CHEB|PPP2R2A
Q8X8Y6|Q9UHW5	GLND|GPN3
P62625|Q8NEN8	ISPH|BMPR1A
Q8X8I2|Q13534	FADB|DDT
P58357|E9PI54	TORR|RAD51
P62618|Q9NWD2	ISPF|RNF31
Q8X8Y6|Q96IG6	GLND|AMT
Q46903|Q9UCT6	QUED|IL1B
P62625|Q9H787	ISPH|SETD6
A0A0H3JRH0|E9PI54	NRFE|RAD51
P0A6Z0|Q6LEF0	DNAK|CCND1
Q8XE87|Q5T1S7	THIL|PPP6C
Q46903|Q5T0F5	QUED|ORC1
P0A6Z0|Q8IVC5	DNAK|CBLB
P62618|Q13233	ISPF|MAP3K1
