P0A6U5	P31663
P0A7H6	P21189
P38521	P0A9N8
P25549	P36561
P64638	P52086
P55138	P09162
P0AFU0	P75798
P60390	P08178
P0A998	P31828
Q47142	P77296
P76594	P32057
P0AET8	P37760
P02358	P56258
P0AGG4	P0AB03
P0ACE7	P04994
P30979	P0A8S1
P25738	P36548
P23886	P22525
P0A8I8	P0A9Q5
P0AEI6	P0A8E5
P27305	P0ABK7
P0ABG4	P15032
P39310	P39338
P45564	P76499
P07024	P37443
P45751	P31069
P0A6I9	P0A870
P77294	P76173
P39163	P0AAZ0
P31660	P00936
P0A7I0	P0A6J8
P77468	P19767
P33224	P75920
P24230	P0ADQ2
P0AGC7	P23836
P37005	P0C0U4
P77400	P76586
P76141	P25748
P39177	P0A9Y6
P37685	P27302
P06710	P0C0L9
P0AE78	P0A8P8
P12008	P0A8M3
P23865	P0AG67
P37623	P67699
P52141	P37751
P32162	P0A8U6
P21499	P0A867
P0ABE9	P0A744
P78067	P37686
P21514	P56262
P37619	P16685
P0ACQ4	P0AC59
P75915	P64445
P0AB31	P27241
P31554	P24228
P0ABE9	P0A7A9
P00804	P0AD01
P0ABU5	P75821
P37002	P05052
P0AES4	P23869
Q46839	P19642
P37642	P0A6Z3
P0ACJ8	P0A9A6
P0AEE3	P77775
P64646	P33997
P31130	P46122
P31697	P33647
P77736	P77044
P0AES0	P37642
P24554	P06983
P39285	P0A982
P0A7P5	P0AG27
P0A6H8	P03819
P16456	P65807
P31453	P42910
P0A9A6	P0ADF8
P33941	P08194
P45751	P42640
P0ADE2	P0AB38
P30870	P76339
P37651	P0ACX9
P0ADJ3	P52644
P11875	P0A6L2
P0ABR1	P75915
P0A7Y8	P0A6E6
P77265	P16869
P76393	P63235
P08245	P29680
P0AE48	P0AB49
P33595	P0A742
P0ACH5	P64592
P52062	P06282
P0AEN4	P0A6R3
P0A9X9	P0A6N4
P0AA78	P37636
P69434	Q47274
P0AE60	P39297
P08400	P0ADP5
P0A8E1	P75822
P05804	P40874
Q46844	P64471
P0A7S3	P15070
P0AGJ5	P0ADV9
P07017	P0A8X2
P37051	P33366
P0AGH3	P0AD99
P0AAN9	P64602
P0AF98	P64581
P77454	P33358
P0ABA4	P21645
P76482	P06721
P0ADF6	P38051
P16525	P77774
P0AE85	P37177
P77515	P78285
P0AGA6	Q46855
P24218	P75859
P04949	P37744
P62672	P0AFX7
P67660	P0AA95
P02932	P0A8R9
P0A772	P23485
P0ADB1	P27300
P37647	P0A8Q3
P76340	P0A7F9
P0AFM4	P33931
P17952	P0AG11
P42603	P37025
P31060	P0AGH1
P64453	P76117
P0AAA3	P39165
P76159	P0A7G6
P75809	P0A898
P75728	P27278
P0A940	P0A6H8
P07003	P07813
P76227	P0AFV8
P0A959	P37610
P77334	P33135
P37631	P22525
P45543	P0ACP7
P31551	P0ABH7
P77377	P25396
P0AD07	P64559
P36560	P0AFJ5
P0ADE8	P21507
P60955	P0ABQ0
P52126	Q46889
P30748	P77318
P04335	P13035
P42615	P37691
P33136	P0ADP5
P39401	P75843
P0A932	P77307
P76399	P75839
P52132	P76204
P77650	P0AFR2
P32162	P30178
P0ACU7	Q47274
P36566	P06996
P37669	P76213
P23325	P15254
P0A6E1	P0A924
P67762	P0AE85
P0A9M8	P68767
P40711	P0AEW6
P00962	P0ACY6
P56579	Q6BEX5
P23331	P69801
P75828	P23305
P0ACB0	P36771
P24171	P06715
P76220	P27840
P0AEI4	P0A817
P0A7R5	P78061
P0AEE1	P54901
P46889	Q46787
P31552	P0AA82
P37685	P21367
P0ABP8	P27302
P0ABR1	P46887
P65290	P0AAS5
P0CF88	P0ABR5
P0AC19	P46118
P76319	P76341
P77173	P05458
P60752	P0A6D3
P77475	P0ADU7
P77744	P11875
P36566	P23893
P0AEH3	P76222
P11290	P76576
P37349	P23367
P0AGJ2	P77338
Q46871	P0AA37
P15286	P0AFA5
P04951	P0A8B5
P0ADJ3	P75821
P0ACP5	P77396
P77396	P0ACT2
P43672	P31658
P0A7I7	P14900
P08372	P64588
P0ACH5	P0A8W0
P0ADT8	P0A8X4
P08373	P64554
P0ADB1	P32681
P33366	P0AEK4
P08394	P43329
P65643	P31553
P46122	P0ADC6
P0A6W9	P0AEM0
P0AB38	P60752
P60651	P0AC38
P0AFT8	P76346
P0A940	P0A7X6
P32680	P0AA95
P08244	P31802
P76004	P0A8Z7
P64638	P52101
P0AEI4	P60906
P75867	P0ADW3
P75830	Q47150
P0ACI0	P0AEB2
P0A6Z3	P18196
P0A8F0	P0A9X4
P76111	P0AAQ6
P76373	P76290
P0A6D7	P77747
P75806	P75829
P00936	P0AB38
P27238	P36649
P30855	P37774
P09155	P23305
P64572	P0A832
Q2MB16	P39310
P0A8V6	P27431
P0ACX5	P37013
P0ADP9	P0A9C0
P0A8S9	P0DMC5
P52107	P75882
P0AG18	P75967
P0ADJ5	P21517
P0A707	P07639
P11667	P0A7C8
P07364	P76213
P0AFP0	P0A8K5
P31467	P76469
Q47537	P25549
P25772	P76007
P0A6Z6	P77202
P0A982	P37194
P77395	Q46904
P0ABZ6	P0C960
P0AEH1	P76055
P03813	P75791
P33235	P0A7K6
P36929	P76524
P64542	P0ADF8
Q47129	P0ACX9
P0ACA1	P0AB87
P32670	P06986
P52076	P25742
P0ABK9	P39279
P45541	P42912
P37648	P0A924
P16679	P77766
P06612	P0A7L0
P28916	P27128
P30844	P42599
P32716	P0AFH8
P07000	P76561
P29131	P0ACF8
P09424	P31675
P0C0L7	P41036
P0A8R7	P77626
P45750	P07012
P0ABE5	P0AFI5
P29745	P76362
P0AB38	P61316
P24202	P25772
P16918	P37663
P25396	P75811
P37007	P64622
P38101	P0A9E9
P76173	P0AF86
P08550	P0AA82
P00962	P0A6I9
P37902	P0AEC0
P36548	P09127
P0ADN6	P0AAK1
P0AE12	P75946
P77667	P0A8M0
P62623	P36646
P39297	P75769
P06996	P32680
P0AEN4	P0A890
P37025	Q47142
P64474	P45545
P25536	Q06065
P0AC84	P75836
P0ABX8	P06971
P0C0K3	P23893
P0ACR9	Q46824
P77182	P63224
P04951	P27829
P0A6W9	P0AFZ3
P08400	P0A746
P39409	P0ACC9
P24174	P14377
P76512	P37443
P27298	P52643
P69828	P77746
P25960	P0AG51
P0ADG7	P77376
P0A698	P0A959
P77806	P33348
P0A8A0	P68679
P0A8U0	P0AAB8
P75948	P77263
P39161	P0AED5
P0AEK4	P64517
P0A9H1	P33348
P36928	P0AA82
P0AC00	P71244
P11454	P69828
P0AF54	P77399
P76575	P24175
P33232	P17315
P64610	P0ADH5
P32669	P75794
P60240	P28634
P76187	P02921
P77718	P0A7N4
P39180	P69910
P76445	P75749
P06993	P0AE70
P37057	P45807
P76045	P0AEA2
P64542	P76213
P0AG82	P62723
P0AB65	P0AC28
P0A7S9	P77718
P00894	P11880
P0A6W9	P13029
P45570	P76187
P0A884	P50465
P40876	P0CF07
P0A707	P30128
P77682	P71239
P0AFG0	P02918
P0AG30	P0C0L7
P0AAQ0	P38489
P0ACI3	P0AGF6
P31801	P31119
P0A9K9	P0AB28
P75823	P39377
P17334	P36560
P0A962	Q47155
P30745	P15082
P37614	P28224
P77269	P76063
P33228	P77245
P77788	P0ADY7
P76264	P06616
P75948	P23538
P25666	P0ACC9
P32140	P77163
P64540	P0A7H3
P0AAR5	P52061
P31697	P76172
P0AFR2	P30745
P43340	P76419
P0A6C1	P0A8N5
P37344	P0A763
P0AAN5	P0ADU5
P77301	P24197
P71298	P0AB96
P77804	P64503
P00370	P0AEQ6
P77790	P12994
Q46898	P16917
P08337	P07118
P0AE48	P0AG80
P0ACJ8	P05825
P0AAX3	P75782
P39394	P32160
P64610	P0A972
P02919	P0ABC3
P75616	P0A8E1
P0AEE1	P76010
P0AD07	P0AB38
P69423	P39285
P77379	P0ADL1
P40874	P67603
P77319	P08369
P0AFG8	P0A825
Q46755	P13518
P19642	P0AF96
P08395	P39099
P39380	P77381
P60723	P31658
P32662	P38489
P33593	P42907
P0AFY8	P0AFZ1
P0AAW9	P0AF82
P08839	P60422
Q46920	P0AF98
P76169	P76014
P21365	P77726
P75989	P39172
P71239	P67697
P0ACI3	P11458
P76558	P0ACP5
P33030	P75616
P0AFS9	P0A8X4
P75859	P76621
P31808	P0AFZ5
P0A7B3	P0AAZ4
P37013	P19317
P0AGE6	P0AGM0
P0AF18	P0ABA0
Q9XB42	P37615
P0AB12	P31436
P0AFW0	P52599
P77732	P76230
P0AFM6	P77588
P0AE14	P03835
P0A7A7	P0A8T1
P0AB40	P0ACQ4
P45756	P13016
P39385	P77334
P75946	P0ADB4
P04335	P46136
P0AA95	P33920
P08368	P75966
P76217	P39333
P19767	P33129
P0ACX3	P77374
P0AFU6	P75748
P45795	P0AA89
P77031	P39383
P64521	P76219
P12758	P11290
P0A910	P42914
P0AAZ0	P67762
P64506	P0ADM8
P07013	P09377
P25746	P07649
P42624	P0AFE0
Q2EEQ2	P42641
P69054	P52106
P0ACV6	P07649
P0AEM4	P76561
P0ADG1	Q46942
Q47377	P71311
P0AAT6	P65367
P0AF24	P0A9S5
P0AEV1	P39411
P76278	P77802
P0ABW9	P0A6X1
P43531	P25539
P0AAX8	P77247
P0A7D4	P0AG63
P45475	P0AD14
P52143	P42603
P21889	P60472
P30958	P0AGL5
P07024	P30855
Q47155	P23845
P0A7X6	P75767
P31069	P77297
P0AC38	P69797
P0A6L2	P23522
P0AEW6	P0AG07
P25798	P0A8R9
Q47156	P0AET5
P18133	P40711
P28249	P75946
P42588	P0AC55
P11667	P76172
P0A9A6	P09169
P11664	P76049
P76142	P0CF91
P75989	P67660
P33235	P67697
P76290	P75672
P15254	P14375
P77467	P69910
P76155	P00936
P09154	P77328
P24241	P77493
P27250	P76639
P0A6D0	P0ABW3
P0A9N4	P0A9V8
Q46898	P39838
P0ACA3	P37765
P45763	P39404
P77297	P78285
P69434	P0A9H9
P69910	P0AAC4
P0A6U5	P0AA41
P45422	P0A910
P55798	P32169
P75733	P77179
P03841	P0ACR2
P07623	P55914
P0A7P5	P16659
Q6BEX5	P31142
P75938	P46855
P19323	P0ADL6
P31433	P76172
P39332	P0AEW1
Q46898	P58033
P69922	P26649
P45465	P39199
P76141	P09154
P27241	P0CK95
P0ABA6	P0AGK1
P31549	P37665
P39352	P02942
P0ABH9	P0A786
P0AFL6	P31660
P0AC26	P43533
P13518	P00579
P52614	Q46799
P0AAL0	P37648
P00811	P07026
P67143	P07913
P15081	P0AAR0
P77318	P31802
P04693	P36767
Q46871	P0AEH3
P64474	P64559
P75884	P28224
P33195	P77182
P0A7H6	P0ADQ2
P00914	P0AE52
P0AFI0	P63235
P67430	P76185
P0AAR8	P45472
P38101	P76254
P77211	P76474
P0AE42	P77330
P21365	P31801
P0A8J8	P0A6Z1
P0AAS3	P0AAU2
P0AEV4	P0A6L4
P75960	Q46925
P25718	P60061
P09980	P23857
P77295	P77485
P39310	P0A6N8
P29012	P75785
P37681	P39277
P37340	P76387
P45543	P0AFR7
P00722	Q46901
P0ADU2	P67601
P0AEJ2	P06720
P17169	P77806
Q47146	P00562
P0AGD7	P25888
P37024	P30866
P0AEN4	P76141
P45524	P77789
P77398	P37686
P77307	P33221
P45570	P0ADR8
P37615	P0AB38
P23886	P12758
P60869	P75822
P75948	P0ADH7
P0A6I3	P75817
Q46908	P27294
P11290	P0CE44
P0A953	P0A7D7
P30847	P0AAB8
P15723	P0A8F4
P31600	P25798
P61949	P76342
P37024	P0AC33
P60438	P0AFK9
P76100	P25718
P69874	P0A7Y0
P30855	P45769
P75792	P69441
P45736	P0A930
Q46877	P0A8I1
P36999	P0A8R0
P0AEF0	P0ABW5
P75855	P39367
P0AGH8	P18133
P04825	P0A6P9
P37666	P07913
P00959	P66899
P38683	P0AEF4
P0AFV4	P0ACT2
P0A9S5	P24241
Q46938	P06864
P42914	P76114
P06959	P76536
P24218	P25549
P0AAT9	P27434
P0A8Z0	P76083
P0AC51	P35340
P0AEW4	P20099
P31119	P43337
P0ACX5	P76471
P46141	P39390
P76395	P21865
P0AFY2	P76575
P0AGB3	P0AED0
Q46845	P0A746
