P27037	P27037	8612709
Q04771	P27037	8612709
P27037	P36896	8612709
P36898	P27037	8612709
P24588	P17252	8599116
P12368	Q12802	8910553
P31323	P31323	7829531
P31323	P24275	7829531
P31322	P06493	8516283
P31322	P11137	2254332
P20651	P24588	7528941
P23458	P40189	9388212 21220115
Q62689	P40189	9388212
P29597	P40189	9388212
P40189	Q06124	9388212
P23458	P17181	9334213
P01111	Q62120	8876196
P01111	P04049	18641128 20080631 21478863 8876196
P10912	Q62120	7956946
Q62120	P40189	7896787
P45984	P42227	7568080
P17275	P42227	7568080
P23458	Q03405	9417082
P29597	Q03405	9417082
Q03405	P39688	9417082
P32927	P05113	7957082
P08700	P32927	7957082
P04141	P15509	7957082 27396825 2555171
Q01094	P19838	9368006
P19838	P19838	9368006
P17181	P29597	24704786 7526154
P62993	P98083	8491186 7535773 8051109
P00813	P47745	8627325
P62873	P63211	8636150
Q6FHM2	P63211	8636150
P29387	P63211	8636150
P63212	P62873	8636150
Q6FHM2	P63212	8636150
P16520	P63212	8636150
P63214	P62873	8636150
Q6FHM2	P63214	8636150
P63214	P16520	8636150
Q6FHM2	P50153	8636150
P16520	P50153	8636150
P63217	P62873	8636150
P63217	Q6FHM2	8636150
P63217	P16520	8636150
P30671	P62873	8636150
Q6FHM2	P30671	8636150
P27487	P00813	8568233
P27487	P08575	1680916
P49869	P19793	7644522
P49870	P19793	7644522
P18074	P19447	8652557 16669699
P32780	P19447	8652557
Q13888	P19447	8652557
P32780	P18074	8652557
P18074	Q13888	8652557
Q13889	P18074	8652557
Q13889	Q13888	8652557
Q13888	P32780	8652557
P28715	P19447	8652557
P32780	P28715	8652557
P28715	P18074	8652557
Q13888	P28715	8652557
Q13216	Q03468	7664335
Q13216	Q13888	7664335
Q16533	P20226	8524284
P20226	Q13487	8524284
P02766	P05067	8915609
P02675	P27797	7592883
P12830	P28827	7642713
P67870	P67870	7768894
P19138	P67870	7768894
P26006	P30409	7790364
P05556	P30409	7790364
Q99075	P30409	9378729 7790364
Q28685	P62993	7744812
P40189	P05231	11251120 7744001
P08887	P05231	9028955 7744001 9694899
P01579	P15260	7617032 10860730
	P04637	8633054
P17480	P06400	7877691
Q01694	P22897	7868247
