B2KF05	Q09XV5
Q8BJL9	P32883
O35490	P00184
Q9JJS0	Q0VDQ9
Q99JG2	Q99MK8
Q8BG17	Q91VR5
Q8VDU1	Q4G5Y1
Q60750	P70425
Q80VP1	O35250
Q9QZZ4	Q8BHD0
Q3TPE9	Q8BM72
P62983	P28184
Q9WTL4	Q61457
P20033	Q8K1K9
B1AVD1	Q9R061
B1AY13	Q6PIJ4
Q8BIF2	Q9ESN4
Q03717	P19123
Q9R118	Q8BHC7
Q00262	A2AVA0
P30285	Q62018
Q3UNZ2	Q8BPC6
F6YTZ4	Q9WTM5
Q6PAJ1	Q8K094
Q9WTR6	P70121
Q9WUJ8	Q8K339
P29037	O08609
Q60996	Q9QXT1
F6SF53	Q9QY61
Q9WTV6	Q8BSU2
E9PWQ3	B2RY56
Q8CI43	Q9CZX8
Q6NXK7	P68404
Q8R516	P59279
P29754	Q9Z2V4
Q9Z218	Q62443
Q02956	P17125
Q9QXP0	P63013
A2AQH4	O35613
O54834	P62761
O35317	V9GWY9
Q9WTS5	Q61527
Q0PHV7	Q9R0M1
Q8C078	Q8K3G5
Q01768	Q9D9D8
Q3UMY5	A2AQH1
Q3UHC1	P54761
P48772	Q8CFU8
Q3V038	E9Q238
Q9CQ10	Q9JKV5
Q9D1X0	O54788
Q8CI75	Q9ESX4
Q2MH31	Q792Y8
Q61233	Q9DAM2
Q3UEB3	A2AL13
Q9QXD1	Q9DBI0
P01216	Q8VDR9
Q62315	Q8BU00
P20662	P61957
Q78PY7	P81269
E9Q777	Q9JIA7
Q8VBX4	Q9DCX8
Q80UJ9	A2AR02
Q6IRU7	Q8BHY8
P13562	Q9EPV7
Q80XJ3	Q8VCE9
Q6A4J8	P97391
P70406	Q91Z83
Q8BGL1	Q80XL6
Q6P6M7	Q9WUD1
Q9QY48	P31649
Q8K0L2	O35660
P12813	P51448
Q00898	P49935
P62631	Q9D0B0
Q9QXX4	Q8C0Q9
Q9DBG7	Q3SXD3
D3Z5F7	Q9ERV1
Q8VFX7	Q91WD0
Q9R0L9	P49443
Q80UW2	P0C1T1
Q99J27	Q9R1V7
Q9Z0R6	Q60775
Q8JZV9	Q8K2B3
O88186	P47811
Q8R256	A0A087WP21
P17897	A2AQ92
P28663	Q6NS69
P70333	Q8R5K2
Q80ZX8	G5E870
Q9ESL9	Q2NKI2
Q8R3P9	Q6NZQ8
Q9JM62	P63276
O35425	Q9JM13
P15037	P36895
Q6PFD6	Q9D0D5
Q64339	Q62445
Q7M732	Q9QYE3
D3Z4I3	D3Z3N4
P14231	O70401
Q61263	Q3UHQ6
Q05738	O88566
Q5RL51	Q9DB85
P20152	Q9D8B3
Q8R0V5	P58058
Q06985	B8JJX8
O35613	Q9CY62
Q4FK66	Q9Z130
Q80TN7	Q9EQN9
O88741	O08599
Q9D9M4	P40749
Q6PGF7	Q8VEA8
Q8BZ25	Q8BGR6
Q8BFR4	P10085
Q62074	O35595
P29452	Q99P87
Q8BFS9	O70571
Q61211	Q64685
Q9D0N7	Q61982
Q8CI96	P67871
Q6NWV3	Q8VIK5
Q3UV74	Q9JMH9
Q5SX40	Q9DBJ1
Q3THF9	Q6XPS7
Q02085	Q08091
E9PV24	P04768
Q80ZX0	O08601
Q9D270	Q8CFE3
P17809	Q9CX84
Q61001	P70321
O70443	Q5QD11
P70441	Q7TNP2
P48760	P10078
Q9R0P6	Q8QZR5
Q8R5H1	Q60953
P26262	Q80XR2
P00184	Q07279
Q91XC8	O89013
Q9JHF7	Q9Z0P4
P46099	P40240
Q6NVF0	F7B5D6
Q3TRM8	P28650
P26149	Q9CYK1
P53798	D3YZG8
Q8VGP5	Q3SXH8
Q63844	Q921L5
Q9D415	Q9ERH4
Q8VCA5	Q8VD46
Q61701	P22933
Q9Z0J7	Q8K4B2
Q9CXK8	Q6PFR5
Q8VDU3	Q8CB87
Q9JKP5	O89090
Q9JIA1	Q8BIZ1
D3YXK2	Q91YI6
Q9D7R2	P15116
Q9Z2B9	Q3UHC1
Q04899	Q8CGP5
A2A654	Q3V080
Q8BUN5	K9J7E2
D3YYW9	P63216
Q62407	P09411
Q6PCN3	P36993
Q8R105	Q8K2B0
